hanzi_trad	hanzi_simp	pinyin	transcr	transc_rus	rus_translation	note	chinese_translation
NONE	奥涅加	àonièjiā	NONE	NONE	Онега	NONE	NONE
NONE	奥特拉德诺耶	àotèlādénuòyē	NONE	NONE	Отрадное	NONE	NONE
NONE	贝加尔	bèijiā’ěr	NONE	NONE	Байкал	NONE	NONE
NONE	拉多加	lāduōjiā	NONE	NONE	Ладога	NONE	NONE
NONE	伏尔加	fú’ěrjiā	NONE	NONE	Волга	NONE	NONE
NONE	普斯科夫	pǔ sī kē fū	NONE	NONE	Псков-	NONE	NONE
NONE	列佩利	lièpèilì	NONE	NONE	Лепель-	NONE	NONE
NONE	哈桑	hā sāng	NONE	NONE	Хасан	NONE	NONE
NONE	谢利格尔	xièlìgé’ěr	NONE	NONE	Селигер	NONE	NONE
NONE	拉马	lāmǎ	NONE	NONE	Лама	NONE	NONE
NONE	泰梅尔	tàiméi’ěr	NONE	NONE	Таймыр	NONE	NONE
NONE	加利	jiālì	NONE	NONE	Галь-	NONE	NONE
NONE	加里	jiālǐ	NONE	NONE	Гарь	NONE	NONE
NONE	孔德	kǒngdé	NONE	NONE	Конд-	NONE	NONE
NONE	苏拉	sūlā	NONE	NONE	Сула	NONE	NONE
NONE	苏姆	sūmǔ	NONE	NONE	Сум-	NONE	NONE
NONE	乌尔	wūěr	NONE	NONE	Ур-	NONE	NONE
NONE	克柳奇	kèliǔqí	NONE	NONE	Ключи	NONE	NONE
NONE	休奇耶	xiūqíyē	NONE	NONE	Щучье	NONE	NONE
NONE	古比雪夫	gǔbǐxuěfū	NONE	NONE	Куйбышев-	NONE	NONE
NONE	沙尔	shā’ěr	NONE	NONE	Шар	NONE	NONE
NONE	车臣	chēchén	NONE	NONE	Чечень	NONE	NONE
NONE	乌什	wūshí	NONE	NONE	Уш	NONE	NONE
NONE	苏霍伊	sūhuòyī	NONE	NONE	Сухой	NONE	NONE
NONE	俄罗斯	éluósī	NONE	NONE	Русский	NONE	NONE
NONE	彼得格勒	bǐdégélè	NONE	NONE	Петроград-	NONE	NONE
NONE	施密特	shīmìtè	NONE	NONE	Шмидт-	NONE	NONE
NONE	海斯	hǎisī	NONE	NONE	Хейс-	NONE	NONE
NONE	哈雷	hāléi	NONE	NONE	Харли	NONE	NONE
NONE	费尔斯曼	fèi’ěrsīmàn	NONE	NONE	Ферсман-	NONE	NONE
NONE	乌沙科夫	wūshākēfū	NONE	NONE	Ушаков-	NONE	NONE
NONE	索尔兹伯里	suǒ’ěrzībólǐ	NONE	NONE	Солсбери	NONE	NONE
NONE	索洛维约夫	suǒluòwéiyuēfū	NONE	NONE	Соловьёв-	NONE	NONE
NONE	鲁道夫	lǔdàofū	NONE	NONE	Рудольф-	NONE	NONE
NONE	罗伯逊	luóbóxùn	NONE	NONE	Робертсон-	NONE	NONE
NONE	波波夫	bōbōfū	NONE	NONE	Попов-	NONE	NONE
NONE	牛顿	niúdùn	NONE	NONE	Ньютон-	NONE	NONE
NONE	南森	nánsēn	NONE	NONE	Нансен-	NONE	NONE
NONE	拉夫罗夫	lāfūluófū	NONE	NONE	Лавров-	NONE	NONE
NONE	库恩	kù’ēn	NONE	NONE	Кун-	NONE	NONE
NONE	高尔察克	gāo’ěrchákè	NONE	NONE	Колчак-	NONE	NONE
NONE	约翰	yuēhàn	NONE	NONE	Ион-	NONE	NONE
NONE	伊万诺夫	yīwànnuòfū	NONE	NONE	Иванов-	NONE	NONE
NONE	迪克	díkè	NONE	NONE	Дик-	NONE	NONE
NONE	杰斐逊	jiéfěixùn	NONE	NONE	Джефферсон-	NONE	NONE
NONE	杰克逊	jiékèxùn	NONE	NONE	Джексон-	NONE	NONE
NONE	戴维	dàiwéi	NONE	NONE	Давид-	NONE	NONE
NONE	霍夫曼	huòfūmàn	NONE	NONE	Гофман-	NONE	NONE
NONE	霍尔	huò’ěr	NONE	NONE	Галль-	NONE	NONE
NONE	弗兰格尔	fúlángé’ěr	NONE	NONE	Врангель-	NONE	NONE
NONE	白令	báilìng	NONE	NONE	Беринг-	NONE	NONE
NONE	贝克尔	bèikè’ěr	NONE	NONE	Беккер-	NONE	NONE
NONE	阿瑟	āsè	NONE	NONE	Артур-	NONE	NONE
NONE	安德烈耶夫	āndélièyēfū	NONE	NONE	Андреев-	NONE	NONE
NONE	阿德莱德	ādéláidé	NONE	NONE	Аделаида	NONE	NONE
NONE	新西伯利亚	xīnxībólìyà	NONE	NONE	Новая Сибирь	NONE	NONE
NONE	马卡尔	mǎkǎ’ěr	NONE	NONE	Макар	NONE	NONE
NONE	科穆纳尔	kēmùnà’ěr	NONE	NONE	Коммунар	NONE	NONE
NONE	克林	kèlín	NONE	NONE	Клин	NONE	NONE
NONE	基	jī 	NONE	NONE	Кий	NONE	NONE
NONE	迪克森	díkèsēn	NONE	NONE	Диксон	NONE	NONE
NONE	戴维斯	dàiwéisī	NONE	NONE	Дауэс	NONE	NONE
NONE	维多利亚	wéiduōlìyà	NONE	NONE	Виктория	NONE	NONE
NONE	瓦西里	wǎxīlǐ	NONE	NONE	Васильевский	NONE	NONE
NONE	布扬	bùyáng	NONE	NONE	Буян	NONE	NONE
NONE	布尔什维克	bùěrshíwéikè	NONE	NONE	Большевик	NONE	NONE
NONE	别雷	biéléi	NONE	NONE	Белый	NONE	NONE
NONE	贝尔	bèiěr	NONE	NONE	Белл	NONE	NONE
NONE	第聂伯	dìnièbó	NONE	NONE	Днепр	NONE	NONE
NONE	通古斯	tōnggǔsī	NONE	NONE	Подкаменная Тунгуска	NONE	NONE
NONE	阿纳德尔	ā’nàdé’ěr	NONE	NONE	Анадырь	NONE	NONE
NONE	伏尔加	fú’ěrjiā	NONE	NONE	Волга	NONE	NONE
NONE	卢加	lújiā	NONE	NONE	Луга	NONE	NONE
NONE	沃尔霍夫	wò’ěrhuòfū	NONE	NONE	Волхов	NONE	NONE
NONE	皮萨	písà	NONE	NONE	Писса	NONE	NONE
NONE	维京	wéijīng	NONE	NONE	Витим	NONE	NONE
NONE	沃洛格达	wòluògēdá	NONE	NONE	Вологда	NONE	NONE
NONE	库尔	kù’ěr	NONE	NONE	Кур	NONE	NONE
NONE	额尔古纳	é’ěrgǔ’nà	NONE	NONE	Аргунь	NONE	NONE
NONE	鄂毕	èbì	NONE	NONE	Обь	NONE	NONE
NONE	顿	dùn	NONE	NONE	Дон	NONE	NONE
NONE	纳德姆	nàdémǔ	NONE	NONE	Надым	NONE	NONE
NONE	伯朝拉	bócháolā	NONE	NONE	Печора	NONE	NONE
NONE	库班	kùbān	NONE	NONE	Кубань	NONE	NONE
NONE	捷列克	jiélièkè	NONE	NONE	Терек	NONE	NONE
NONE	乌拉尔	wūlā’ěr	NONE	NONE	Урал	NONE	NONE
NONE	叶尼塞	yènísāi	NONE	NONE	Енисей	NONE	NONE
NONE	泰梅尔	tàiméi’ěr	NONE	NONE	Нижняя Таймыра	NONE	NONE
NONE	普尔	pǔ’ěr	NONE	NONE	Пур	NONE	NONE
NONE	涅瓦	nièwǎ	NONE	NONE	Нева	NONE	NONE
NONE	图们	túmén	NONE	NONE	Туман-	NONE	NONE
NONE	阿巴坎	ābākǎn	NONE	NONE	Абакан	NONE	NONE
NONE	卡马	kǎmǎ	NONE	NONE	Кама	NONE	NONE
NONE	梅津	méijīn	NONE	NONE	Мезень	NONE	NONE
NONE	乌苏里	wūsūlǐ	NONE	NONE	Уссури	NONE	NONE
NONE	结雅	jiēyǎ	NONE	NONE	Зея	NONE	NONE
NONE	乌法	wūfǎ	NONE	NONE	Уфа	NONE	NONE
NONE	阿尔丹	ā’ěrdān	NONE	NONE	Алдан	NONE	NONE
NONE	塔夫达	tǎfūdá	NONE	NONE	Тавда	NONE	NONE
NONE	伊希姆	yīxīmǔ	NONE	NONE	Ишим	NONE	NONE
NONE	苏拉	sūlāsūla	NONE	NONE	Сура	NONE	NONE
NONE	丘雷姆	qiūléimǔ	NONE	NONE	Чулым	NONE	NONE
NONE	维亚特卡	wéiyàtèkǎ	NONE	NONE	Вятка	NONE	NONE
NONE	石勒喀	shílèkā	NONE	NONE	Шилка	NONE	NONE
NONE	尤留赞	yóuliúzàn	NONE	NONE	Юрюзань	NONE	NONE
NONE	布伊	bùyī	NONE	NONE	Буй	NONE	NONE
NONE	堪察加	kānchájiā	NONE	NONE	Камчатка	NONE	NONE
NONE	额尔齐斯	é’ěrqísī	NONE	NONE	Иртыш	NONE	NONE
NONE	乌赫塔	wūhètǎ	NONE	NONE	Ухта	NONE	NONE
NONE	普里皮亚季	pǔlǐpíyàjì	NONE	NONE	Припять	NONE	NONE
NONE	亚赫罗马	yàhèluómǎ	NONE	NONE	Яхрома	NONE	NONE
NONE	雅各布	yāgèbù	NONE	NONE	Ворьема	NONE	NONE
NONE	莫斯科	mòsīkē	NONE	NONE	Москва	NONE	NONE
NONE	安加拉	ānjiālā	NONE	NONE	Ангара	NONE	NONE
NONE	库马	kùmǎ	NONE	NONE	Кума	NONE	NONE
NONE	拉巴	lāba	NONE	NONE	Лаба	NONE	NONE
NONE	舒亚	shūyà	NONE	NONE	Шуя	NONE	NONE
NONE	米阿斯	mǐāsī	NONE	NONE	Миасс	NONE	NONE
NONE	萨马拉	sàmǎlā	NONE	NONE	Самара	NONE	NONE
NONE	别拉亚	biélāyà	NONE	NONE	Белая	NONE	NONE
NONE	阿尔东	ā’ěrdōng	NONE	NONE	Ардон	NONE	NONE
NONE	霍尔	huò’ěr	NONE	NONE	Хор	NONE	NONE
NONE	尤拉	yóulā	NONE	NONE	Юла	NONE	NONE
NONE	布祖卢克	bùzǔlúkè	NONE	NONE	Бузулук	NONE	NONE
NONE	扎扎	zhāzhā	NONE	NONE	Заза	NONE	NONE
NONE	巴克桑	bākèsāng	NONE	NONE	Баксан	NONE	NONE
NONE	丘赫洛马	qiūhèluòmǎ	NONE	NONE	Чухлома-	NONE	NONE
NONE	克拉斯诺耶	kèlāsīnuòyē	NONE	NONE	Красное	NONE	NONE
NONE	瓦尔代	wǎ’ěrdài	NONE	NONE	Валдай-	NONE	NONE
NONE	米亚杰尔	mǐyàjiéěr	NONE	NONE	Мядель	NONE	NONE
NONE	乌多姆利亚	wūduōmǔlìyà	NONE	NONE	Удомля	NONE	NONE
NONE	巴尔古津	bāěrgǔjīn	NONE	NONE	Баргузин	NONE	NONE
NONE	图拉	túlā	NONE	NONE	Тура	NONE	NONE
NONE	坎	kǎn	NONE	NONE	Кан	NONE	NONE
NONE	塔拉	tǎlā	NONE	NONE	Тара	NONE	NONE
NONE	尼布楚	níbùchǔ	NONE	NONE	Нерча	NONE	NONE
NONE	卡拉苏克	kǎlāsūkè	NONE	NONE	Карасук	NONE	NONE
NONE	卡通	kǎtōng 	NONE	NONE	Катунь	NONE	NONE
NONE	布列亚	bùlièyà	NONE	NONE	Бурея	NONE	NONE
NONE	塔塔	tǎtǎ	NONE	NONE	Татта	NONE	NONE
NONE	哈尔科夫	hā’ěrkēfū	NONE	NONE	Харьков	NONE	NONE
NONE	沃罗涅日	wòluónièrì	NONE	NONE	Воронеж	NONE	NONE
NONE	普拉	pǔlā	NONE	NONE	Пра	NONE	NONE
NONE	阿拉特里	àlatèlǐ	NONE	NONE	Алатырь	NONE	NONE
NONE	沃尔马	wù’ěrmǎ	NONE	NONE	Волма	NONE	NONE
NONE	托斯诺	tuōsīnuò	NONE	NONE	Тосна	NONE	NONE
NONE	卡斯	kǎ sī	NONE	NONE	Кас	NONE	NONE
NONE	瓦盖	wǎ gài	NONE	NONE	Вагай	NONE	NONE
NONE	蒂萨河	dìsà hé	NONE	NONE	Тисса	NONE	NONE
NONE	梅拉	méilā	NONE	NONE	Мера	NONE	NONE
NONE	比亚	bǐyà	NONE	NONE	Бия	NONE	NONE
NONE	科斯特罗马	kēsītèluómǎ	NONE	NONE	Кострома	NONE	NONE
NONE	博尔贾	bó’ěrjiǎ	NONE	NONE	Борзя	NONE	NONE
NONE	雄	xióng	NONE	NONE	Сюнь	NONE	NONE
NONE	涅亚	nièyà	NONE	NONE	Нея	NONE	NONE
NONE	因萨尔	yīnsà’ěr	NONE	NONE	Инсар	NONE	NONE
NONE	普肖尔	pǔxiào’ěr	NONE	NONE	Псёл	NONE	NONE
