hanzi_trad	hanzi_simp	pinyin	transcr	transc_rus	rus_translation	note	chinese_translation
哦定	哦定	NONE	γɤ-tiŋ	один	один		A:02a-02 壹
獨凹	独凹	NONE	tuə -va ʔ	дува	два		A:02a-02 貳
的利	的利	NONE	tiə -li ʔ	дили	три		A:02a-02 叄
俏的利	俏的利	NONE	ʨ‘iau-tiə -li ʔ	цяодили	четыре		A:02a-02 肆
癟地	瘪地	NONE	pie-ti	беди	пять		A:02a-02 伍
射史	射史	NONE	sɤ-sɿ	сосы	шесть		A:02a-02 陸
謝米	谢米	NONE	ɕie-mi	семи	семь		A:02a-03 柒
臥謝米	卧谢米	NONE	vɤ-ɕie-mi	восеми	восемь		A:02a-03 捌
佃尾地	佃尾地	NONE	t‘ie-vei-ti	тевэйди	девять		A:02a-03 玖
佃昔地	佃昔地	NONE	t‘ie-ɕiəʔ-ti	тесиди	десять		A:02a-03 拾
哦定那此地	哦定那此地	NONE	γɤ-tiŋ-na-ts‘ɿ-ti	одиннацыди	одиннадцать		A:02a-03 拾壹
獨凹那此地	独凹那此地	NONE	tuə -va-na-ts‘ɿ-ti ʔ	дуванацыди	двенадцать		A:02a-04 拾貳
的利那此地	的利那此地	NONE	ti-li-na-ts‘ɿ-ti	дилинацыди	тринадцать		A:02a-04 拾叄
俏的利那此地	俏的利那此地	NONE	ʨ‘iau-tiə -li-na- ʔ ts‘ɿ-ti	цяодилинацыди	четырнадцать		A:02a-04 拾肆
癟地那此地	瘪地那此地	NONE	pie-ti-na-ts‘ɿ-ti	бединацыди	пятнадцать		A:02a-04 拾伍
謝史那此地	谢史那此地	NONE	ɕie-sɿ-na-ts‘ɿ-ti	сесынацыди	шестнадцать		A:02a-05 拾陸
謝米那此地	谢米那此地	NONE	ɕie-mi-na-ts‘ɿ-ti	семинацыди	семнадцать		A:02a-05 拾柒
臥謝米那此地	卧谢米那此地	NONE	vɤ-ɕie-mi-na-ts‘ɿ-ti	восеминацыди	восемнадцать		A:02a-05 拾捌
佃尾那此地	佃尾那此地	NONE	t‘ie-vei-na-ts‘ɿ-ti	тевэйнацыди	девятнадцать		A:02a-05 拾玖
獨凹此地	独凹此地	NONE	tuə -va-ts‘ɿ-ti	дувацыди	двадцать		A:02b-01 ʔ貳拾 
的利此的	的利此的	NONE	tiə -li-ts‘ɿ-tiəʔ	тилицыди	тридцать		A:02b-01 ʔ叄拾 
桑兒哥	桑儿哥	NONE	sɐ̃-ər-kɤ	сарго	сорок		A:02b-01 肆拾
癟地下地	瘪地下地	NONE	pie-ti-ɕia-ti	бедисяди	пятьдесят		A:02b-01 伍拾 
射史下地	射史下地	NONE	sɤ-sɿ-ɕia-ti	сосысяди	шестьдесят		A:02b-02 陸拾 
謝米下地	谢米下地	NONE	ɕie-mi-ɕia-ti	семисяди	семьдесят		A:02b-02 柒拾 
臥謝米下地	卧谢米下地	NONE	vɤ-ɕie-mi-ɕia-ti	восемисяди	восемьдесят		A:02b-02 捌拾 
佃尾那史唐	佃尾那史唐	NONE	t‘ie-vei-na-sɿ-t‘ɐ	тевэйнасыта	девяносто		A:02b-02 玖拾 
史唐樓不利	史唐楼不利	NONE	sɿ-t‘ɐ ləu-pəʔ-li	сыта лоубэли	сто рублей		A:02b-03 壹伯 
哨的嘛念子	哨的嘛念子	NONE	sau-tiə  ma-nie-tsɿ	саоди манецзы	сот манедза (сто)		A:02b-03 ʔ壹伯 
佃昔成	佃昔成	NONE	t‘ie-ɕiəʔ-ts‘əŋ	тесицэн	тысяча		A:02b-03 壹千 
佃昔地佃昔成	佃昔地佃昔成	NONE	t‘ie-ɕiə -ti t‘ie-ɕiə - ʔts‘əŋ	тесиди тесицэн	десять тысяч		A:02b-03 壹萬 
史唐佃昔成	史唐佃昔成	NONE	sɿ-t‘ɐ t‘ie-ɕiəʔ-ts‘əŋ	сыта тесицэн	сто тысяч		A:02b-03 拾萬 
迷力彥	迷力彦	NONE	mi-liəʔ-ie	милие	миллион		A:02b-04 百萬 
