hanzi_trad	hanzi_simp	pinyin	transcr	transc_rus	rus_translation	note	chinese_translation
納念必	纳念必	NONE	na  nie-piə  ʔ ʔ	на неби	небо (одно произношение)		B:13a-01 天一 二音之 
呆普	呆普	NONE	tai p‘u	дай пу	дай Бог (другое произношение) (небо)		B:13a-01 天二 二音之 
幾明亮	几明亮	NONE	ʨi-miŋ-liɐ	цзиминля	земля		B:13a-01 地 
順子	顺子	NONE	suŋ-tsɿ	сунцзы	солнце		B:13a-01 日 
面昔子	面昔子	NONE	mie-ɕiə -tsɿ ʔ	месицзы	месяц		B:13a-01 月 
林洛膩子	林洛腻子	NONE	liŋ-luə -ni-tsɿ ʔ	линлуницзы	Лилоница (созвездие Большой Медведицы)		B:13a-01 斗 
稍許(吓)的	稍许(吓)的	NONE	sau-xa-tiə  ʔ	саохади	Сохатый (созвездие Орион)		B:13a-01 參 
高斗	高斗	NONE	kau-təu	гаодоу	год		B:13a-01 年 
叉時	叉时	NONE	ts‘a-sɿ	цасы	час		B:13a-02 時 
未的兒	未的儿	NONE	vei-tiəʔ-ər	вэйдир	ветер		B:13a-02 風 
各勞木	各劳木	NONE	kəʔ-lau-məʔ	гэлаомэ	гром		B:13a-02 雷 
帽泥牙	帽泥牙	NONE	mau-ni-ia	маония	молния (одно произношение)		B:13a-02 電一 二音之 
哦西亞夜的	哦西亚夜的	NONE	γɤ-ɕi-ia-ie-tiə	осияеди	осияет (другое произношение) (молния)		B:13a-02 電二 二音之 
道什	道什	NONE	tau-səʔ	даосэ	дождь		B:13a-01 雨
昔泥各	昔泥各	NONE	ɕiəʔ-ni-kəʔ	синигэ	снег (одно произношение)		B:13a-02 雪一二音之
西艮各	西艮各	NONE	ɕi-niŋ-kəʔ	синингэ	снег (другое произношение)		B:13a-02 雪二二音之
哦路日	哦路日	NONE	γɤ-ləu-zə	олоузэ	рожь (облако)		ʔB:13a-02 雲 
毛勞什	毛劳什	NONE	mau-lau-sə	маолаосэ	морось (одно произношение) (роса)		B:13a-03 露 三音之 
書罵力	书骂力	NONE	su-ma-liəʔ	сумали	сумарь (другое произношение) (роса)		B:13a-03 露 三音之 
束木浪什坎	束木浪什坎	NONE	suə -mə -lɐ-sə -k‘æ̃ ʔ ʔ	сумэласэкэ	сморошка (третье произношение) (роса)		B:13a-03 露 三音之 
不羅牙史泥郞	不罗牙史泥郞	NONE	pəʔ-luɤ-ia-sɿ-ni-lɐ	бэлоясынила	прояснилось		B:13a-03 晴拉 
牙拉杜坎	牙拉杜坎	NONE	ia-la-tu-k‘æ̃	яладукэ	радуга (радуга появилась)		B:13a-03 虹拉 
波個的	波个的	NONE	pɤ-kɤ-tiə	богоди	погода (дует ветер)		ʔB:13a-03 刮風 
勿煉迷	勿炼迷	NONE	və -lie-mi	вэлеми	время		ʔB:13a-03 時候 
道什利外煉得	道什利外炼得	NONE	tau-sə -li-vai lie-tiə ʔ	даосэливай леди	дождливый лить (ливень)		ʔB:13a-04 雨澇 
則素人之	则素人之	NONE	tsə -su-zəŋ-tsɿ	цзэсузэнцзы	засушится (засуха)		ʔB:13a-04 天旱 
未何里	未何里	NONE	vei-xɤ-li	вэйхоли	вихрь		B:13a-04 施風 
道什衣吊	道什衣吊	NONE	tau-sə  i-tiau ʔ	даосэ идяо	дождь идёт		B:13a-04 下雨 
西艮各衣吊	西艮各衣吊	NONE	ɕi-niŋ-kə  i-tiau ʔ	синингэ идяо	снег идёт		B:13a-04 下雪 
悞的兒力	悞的儿力	NONE	u-tiəʔ-ər-liəʔ	удирли	утро		B:13a-05 早晨 
未俏而內	未俏而内	NONE	vei-ʨ‘iau-ər-nuei	вэйцяорнуй	вечерний (вечер)		B:13a-05 晚上 
波羅未納定	波罗未纳定	NONE	pɤ-luɤ-vei-naʔ-tiŋ	боловэйна-дин	половина-день (полдень)		B:13a-05 午時 
各浪史內定	各浪史内定	NONE	kə -lɐ-sɿ-nuei tiŋ	гэласынуй дин	красный день (днём)		ʔB:13a-05 白日力 
鬧池	闹池	NONE	nau-ts‘ɿ	наоцы	ночь (одно произношение)		B:13a-05 黑夜力 二
鬧求	闹求	NONE	nau-ʨ‘iəu	наоцю	ночью (другое произношение)		B:13a-05 黑夜力 二
之未之的	之未之的	NONE	tsɿ-vei-tsɿ-tiə	цзывэйцзыди	звезда		ʔB:13a-06 星 
順子則什浪	顺子则什浪	NONE	suŋ-tsɿ tsəʔ-səʔ-lɐ	сунцзы цзэсэла	солнце зашла (солнце взошло)		B:13a-06 日出 
面昔子各地浪史	面昔子各地浪史	NONE	mie-ɕiəʔ-tsɿ kəʔ-ti-lɐ-sɿ	месицзы гэдиласы	месяц катилась (месяц закатился)		B:13a-06 月落 
未史納	未史纳	NONE	vei-sɿ-naʔ	вэйсына	весна		B:13a-06 春 
煉的內	炼的内	NONE	lie-tiə -nuei	лединуй	летный (лето)		ʔB:13a-06 夏 
臥昔油	卧昔油	NONE	vɤ-ɕiə -iəu	восию	осенью		ʔB:13a-06 秋 
幾毛	几毛	NONE	ʨi-mau	цзимао	зима		B:13a-07 冬 
勿史道克	勿史道克	NONE	və -sɿ-tau-k‘ə  ʔ	вэсыдаокэ	восток		ʔB:13a-07 東 
棒各泥	棒各泥	NONE	pɐ̃-kə -ni	багэни	полдень (юг)		ʔB:13a-07 南 
則垻地	则垻地	NONE	tsə -pa-ti	цзэбади	запад		ʔB:13a-07 西 
窄别兒內	窄别儿内	NONE	tsə -piə -ər-nuei ʔ ʔ	цзэбирнуй	северный (север)		B:13a-07 北 
的利高到	的利高到	NONE	tiə -li kau-tau ʔ	дили гаодао	три года (позапрошлый год)		B:13a-07 前年
笑文高到	笑文高到	NONE	ɕiau-vəŋ kau-tau	сяовэн гаодао	сего года (нынешний год)		B:13a-07 今年
不利日內高到	不利日内高到	NONE	pə -li-zə -nuei kau-tau	бэлизэнуй гаодао	ближний годов (через два года)		B:13a-08 後年
笑文艮	笑文艮	NONE	ɕiau-vəŋ-niŋ	сяовэннин	сегодня		B:13a-08 今日
則伏獨兒	则伏独儿	NONE	tsə -fə -tuəʔ ʔʔ-ər	цзэфэдур	завтра		B:13a-08 明日
棒昔力則伏獨兒	棒昔力则伏独儿	NONE	pɐ̃-ɕiə -liəʔʔ-tsəʔ-fəʔ-tuəʔ-ər	басилицзэфэдур	послезавтра		B:13a-08 後日
尺拉史	尺拉史	NONE	ts‘ə -la-sɿ ʔ	цэласы	вчерась		B:13a-08 昨日
的利吊文艮	的利吊文艮	NONE	tiəʔ-li-tiau-vəŋ niŋ	дилидяовэн нин	третьего день (позавчера)		B:13a-09 前日
納池外	纳池外	NONE	na -ts‘ɿ-vai ʔ	нацывай	ночевай (ночевать)		B:13a-09 過夜
叉時	叉时	NONE	ts‘a-sɿ	цасы	час		B:13a-09 時辰
數的坎	数的坎	NONE	su-tiəʔ-k‘æ̃	судикэ	сутки		B:13a-09 一旦夜
不牙此	不牙此	NONE	pəʔ-ia-ts‘ɿ	бэяцы	пьётся (роса)		B:13a-09 露水
哦力史大牙	哦力史大牙	NONE	γɤ-liə -sɿ-ta-ia ʔ	олисыдая	растаять		B:13a-09 消雪
合浪的內	合浪的内	NONE	xə -lɐ-tiəʔʔ-nuei	хэладинуй	холодный		B:13b-01 寒冷
粟什內	粟什内	NONE	ɕyəʔ-səʔ-nuei	сюэсэнуй	сущный (срок)		B:13b-01 期天
