	doc_name	sentence_id	sentence_rus	sentence_zho	proper_names	proper_zh	wordlist	jieba	pku	stanford
0	futlar.xml	###undefined###	На самом краю села Мироносицкого, в сарае старосты Прокофия расположились на ночлег запоздавшие охотники.	在米罗诺西茨村边，在村长普罗科菲的堆房里，误了归时的猎人们正安顿下来过夜。	Мироносицкого_Прокофия	米罗诺西茨_普罗科菲	普罗科菲		米罗诺西茨村_普罗科菲	米罗诺西茨_普罗科菲
1	futlar.xml	###undefined###	Их было только двое: ветеринарный врач Иван Иваныч и учитель гимназии Буркин.	他们只有二人：兽医伊凡·伊凡内奇和中学教员布尔金。	Иван_Иваныч_Буркин	伊凡_伊凡内奇_布尔金	布尔金	伊凡_伊凡_内奇_布尔金	伊凡·伊凡内奇_布尔金	伊凡·伊凡内奇_布尔金
2	futlar.xml	###undefined###	У Ивана Иваныча была довольно странная, двойная фамилия — Чимша-Гималайский, которая совсем не шла ему, и его во всей губернии звали просто по имени и отчеству, он жил около города на конском заводе и приехал теперь на охоту, чтобы подышать чистым воздухом.	伊凡·伊凡内奇有个相当古怪的复姓：奇木沙-喜马拉雅斯基，这个姓跟他很不相称，所以省城里的人通常只叫他的名字和父称。他住在城郊的养马场现在出来打猎是想呼吸点新鲜空气，	Ивана_Иваныча_Чимша-Гималайский	伊凡_伊凡内奇_奇木沙-喜马拉雅		伊凡_伊凡_内奇_奇木沙_喜马拉雅_斯基	伊凡·伊凡内奇_奇木沙_喜马拉雅斯基	伊凡·伊凡内奇_奇木沙
3	futlar.xml	###undefined###	Учитель же гимназии Буркин каждое лето гостил у графов П. и в этой местности давно уже был своим человеком.	中学教员布尔金每年夏天都在ｎ姓伯爵家里做客，所以在这一带早已不算外人了。	Буркин	布尔金	布尔金	布尔金	布尔金	布尔金
4	futlar.xml	###undefined###	Иван Иваныч, высокий, худощавый старик с длинными усами, сидел снаружи у входа и курил трубку, его освещала луна. Буркин лежал внутри на сене, и его не было видно в потемках.	伊凡·伊凡内奇，一坐在门外月光下吸着烟斗，布尔金躺在里面的干草上，在黑暗中看不见他。	Иван_Иваныч_Буркин	伊凡_伊凡内奇_布尔金	布尔金	伊凡_布尔金	伊凡_伊凡内奇_布尔金	伊凡_伊凡内奇_布尔金
5	futlar.xml	###undefined###	Между прочим говорили о том, что жена старосты, Мавра, женщина здоровая и не глупая, во всю свою жизнь нигде не была дальше своего родного села, никогда не видела ни города, ни железной дороги, а в последние десять лет всё сидела за печью и только по ночам выходила на улицу.	顺便提起村长的老婆玛芙拉，说这女人身体结实，人也不蠢，就是一辈子没有走出自己的村子，从来没有见过城市，没有见过铁路，最近十年间更是成天守着炉灶，只有到夜里才出来走动走动。	Мавра	玛芙拉			玛芙拉	
6	futlar.xml	###undefined###	— Что же тут удивительного! — сказал Буркин. — Людей, одиноких по натуре, которые, как рак-отшельник или улитка, стараются уйти в свою скорлупу, на этом свете не мало.	这有什么奇怪的“布尔金说！有些人生性孤僻”他们像寄居蟹或蜗牛那样，总想缩进自己的壳里“这种人世上还不少哩，	Буркин	布尔金	布尔金	布尔金	布尔金	布尔金
7	futlar.xml	###undefined###	Я не естественник и не мое дело касаться подобных вопросов, я только хочу сказать, что такие люди, как Мавра, явление не редкое.	我不是搞自然科学的，这类问题不关我的事。我只是想说像玛芙拉这类人，并不是罕见的现象，	Мавра	玛芙拉			玛芙拉	玛芙拉
8	futlar.xml	###undefined###	Да вот, недалеко искать, месяца два назад умер у нас в городе некий Беликов, учитель греческого языка, мой товарищ.	哦，不必去远处找，两个月前，我们城里死了一个人，他姓别利科夫，希腊语教员，我的同事。	Беликов	别利科夫	别利科夫		别利科夫	
9	futlar.xml	###undefined###	И мысль свою Беликов также старался запрятать в футляр.	别利科夫把自己的思想也竭力藏进套子里。	Беликов	别利科夫	别利科夫		别利科夫	
10	futlar.xml	###undefined###	А на педагогических советах он просто угнетал нас своею осторожностью, мнительностью и своими чисто футлярными соображениями насчет того, что вот-де в мужской и женской гимназиях молодежь ведет себя дурно, очень шумит в классах, — ах, как бы не дошло до начальства, ах, как бы чего не вышло, — и что если б из второго класса исключить Петрова, а из четвертого — Егорова, то было бы очень хорошо.	在教务会议上，他那种顾虑重重、疑神疑鬼的作风和一套纯粹套子式的论调，把我们压得透不过气来。他说什么某某男子中学、女子中学的年轻人行为不轨，教室里乱哄哄的－唉－千万别传到当局那里，哎呀，千万不要惹出什么事端，又说！如果把二年级的彼得罗夫，四年级的叶戈罗夫开除出校、那么情况就会好转，	Петрова_Егорова	彼得罗夫_叶戈罗夫	叶戈罗夫	彼得罗夫	彼得罗夫_叶戈罗夫	叶戈罗夫
11	futlar.xml	###undefined###	Своими вздохами, нытьем, своими темными очками на бледном, маленьком лице, — знаете, маленьком лице, как у хорька, — он давил нас всех, и мы уступали, сбавляли Петрову и Егорову балл по поведению, сажали их под арест и в конце концов исключали и Петрова, и Егорова.	他不住地唉声叹气，老是发牢骚，苍白的小脸上架一副墨镜－您知道－那张小尖脸跟黄鼠狼的一样，他就这样逼迫我们－我们只好让步－把彼得罗夫和叶戈罗夫的操行分数压下去，关他们的禁闭，最后把他们开除了事，	Петрову_Егорову_Петрова_Егорова	彼得罗夫_叶戈罗夫	叶戈罗夫	彼得罗夫	彼得罗夫_叶戈罗夫	叶戈罗夫
