	doc_name	sentence_id	sentence_rus	sentence_zho	proper_names	proper_zh	wordlist	jieba	pku	stanford
0	futlar.xml	###undefined###	На самом краю села Мироносицкого, в сарае старосты Прокофия расположились на ночлег запоздавшие охотники.	在米罗诺西茨村边，在村长普罗科菲的堆房里，误了归时的猎人们正安顿下来过夜。	Мироносицкого_Прокофия	米罗诺西茨_普罗科菲	普罗科菲_	在_米罗_诺西茨_村边_，_在_村长_普罗科_菲_的_堆_房里_，_误_了_归时_的_猎_人们_正_安顿下来_过夜_。	在_米罗诺西茨村_边_，_在_村长_普罗科菲_的_堆房_里_，_误_了_归时_的_猎人们_正_安顿_下来_过夜_。	在_米罗诺西茨_村边_，_在_村长_普罗科菲_的_堆房_里_，_误_了_归时_的_猎人们_正_安顿_下来_过夜_。
1	futlar.xml	###undefined###	Их было только двое: ветеринарный врач Иван Иваныч и учитель гимназии Буркин.	他们只有二人：兽医伊凡·伊凡内奇和中学教员布尔金。	Иван_Иваныч_Буркин	伊凡_伊凡内奇_布尔金	布尔金_	他们_只有_二人_：_兽医_伊凡_·_伊凡_内奇_和_中学_教员_布尔金_。	他们_只有_二_人_：_兽医_伊凡·伊凡内奇_和_中学_教员_布尔金_。	他们_只有_二_人_：_兽医_伊凡·伊凡内奇_和_中学_教员_布尔金_。
2	futlar.xml	###undefined###	У Ивана Иваныча была довольно странная, двойная фамилия — Чимша-Гималайский, которая совсем не шла ему, и его во всей губернии звали просто по имени и отчеству, он жил около города на конском заводе и приехал теперь на охоту, чтобы подышать чистым воздухом.	伊凡·伊凡内奇有个相当古怪的复姓：奇木沙-喜马拉雅斯基，这个姓跟他很不相称，所以省城里的人通常只叫他的名字和父称。他住在城郊的养马场现在出来打猎是想呼吸点新鲜空气，	Ивана_Иваныча_Чимша-Гималайский	伊凡_伊凡内奇_奇木沙-喜马拉雅	斯基_	伊凡_·_伊凡_内奇_有个_相当_古怪_的_复姓_：_奇木沙_-_喜马拉雅_斯基_，_这个_姓_跟_他_很_不相称_，_所以_省_城里_的_人_通常_只_叫_他_的_名字_和_父称_。_他_住_在_城郊_的_养_马场_现在_出来_打猎_是_想_呼吸_点_新鲜空气_，	伊凡·伊凡内奇_有_个_相当_古怪_的_复姓_：_奇木沙_-_喜马拉雅斯基_，_这个_姓_跟_他_很_不_相称_，_所以_省城_里_的_人_通常_只_叫_他_的_名字_和_父称_。_他_住在_城郊_的_养马场_现在_出来_打猎_是_想_呼吸点_新鲜_空气_，	伊凡·伊凡内奇_有_个_相当_古怪_的_复姓_：_奇木沙_-_喜马拉雅_斯基_，_这个_姓_跟_他_很_不_相称_，_所以_省城_里_的_人_通常_只_叫_他_的_名字_和_父称_。_他_住在_城郊_的_养_马场_现在_出来_打猎_是_想_呼吸_点_新鲜_空气_，
3	futlar.xml	###undefined###	Учитель же гимназии Буркин каждое лето гостил у графов П. и в этой местности давно уже был своим человеком.	中学教员布尔金每年夏天都在ｎ姓伯爵家里做客，所以在这一带早已不算外人了。	Буркин	布尔金	布尔金_	中学_教员_布尔金_每年_夏天_都_在_ｎ_姓_伯爵_家里_做客_，_所以_在_这_一带_早已_不算_外人_了_。	中学_教员_布尔金_每年_夏天_都_在_ｎ_姓_伯爵_家里_做客_，_所以_在_这_一带_早已_不_算_外人_了_。	中学_教员_布尔金_每_年_夏天_都_在_ｎ_姓_伯爵_家里_做客_，_所以_在_这_一_带_早_已_不_算_外人_了_。
4	futlar.xml	###undefined###	Иван Иваныч, высокий, худощавый старик с длинными усами, сидел снаружи у входа и курил трубку, его освещала луна. Буркин лежал внутри на сене, и его не было видно в потемках.	伊凡·伊凡内奇，一坐在门外月光下吸着烟斗，布尔金躺在里面的干草上，在黑暗中看不见他。	Иван_Иваныч_Буркин	伊凡_伊凡内奇_布尔金	布尔金_	伊凡_·_伊凡_内奇_，_一_坐在_门外_月光_下_吸着烟_斗_，_布尔金_躺_在_里面_的_干草_上_，_在_黑暗_中_看不见_他_。	伊凡·伊凡内奇_，_一_坐_在_门外_月光_下_吸_着_烟斗_，_布尔金_躺_在_里面_的_干草_上_，_在_黑暗_中看_不见_他_。	伊凡·伊凡内奇_，_一_坐在_门外_月_光下_吸着_烟斗_，_布尔金_躺在_里面_的_干草_上_，_在_黑暗_中_看_不_见_他_。
5	futlar.xml	###undefined###	Между прочим говорили о том, что жена старосты, Мавра, женщина здоровая и не глупая, во всю свою жизнь нигде не была дальше своего родного села, никогда не видела ни города, ни железной дороги, а в последние десять лет всё сидела за печью и только по ночам выходила на улицу.	顺便提起村长的老婆玛芙拉，说这女人身体结实，人也不蠢，就是一辈子没有走出自己的村子，从来没有见过城市，没有见过铁路，最近十年间更是成天守着炉灶，只有到夜里才出来走动走动。	Мавра	玛芙拉		顺便_提起_村长_的_老婆_玛_芙拉_，_说_这_女人_身体_结实_，_人_也_不蠢_，_就是_一辈子_没有_走出_自己_的_村子_，_从来_没有_见过_城市_，_没有_见过_铁路_，_最近_十年间_更是_成天_守_着_炉灶_，_只有_到_夜里_才_出来_走动_走动_。	顺便_提起_村长_的_老婆_玛芙拉_，_说_这_女人_身体_结实_，_人_也_不_蠢_，_就是_一辈子_没有_走出_自己_的_村子_，_从来_没有_见_过_城市_，_没有_见_过_铁路_，_最近_十_年间_更_是_成天_守_着_炉灶_，_只有_到_夜里_才_出来_走动_走动_。	顺便_提起_村长_的_老婆玛芙拉_，_说_这_女人_身体_结实_，_人_也_不蠢_，_就是_一辈子_没有_走出_自己_的_村子_，_从来_没有_见_过_城市_，_没有_见_过_铁路_，_最近_十_年_间_更是_成天_守着_炉灶_，_只有_到_夜里_才_出来_走动_走动_。
6	futlar.xml	###undefined###	— Что же тут удивительного! — сказал Буркин. — Людей, одиноких по натуре, которые, как рак-отшельник или улитка, стараются уйти в свою скорлупу, на этом свете не мало.	这有什么奇怪的“布尔金说！有些人生性孤僻”他们像寄居蟹或蜗牛那样，总想缩进自己的壳里“这种人世上还不少哩，	Буркин	布尔金	布尔金_	这有_什么_奇怪_的_“_布尔金_说_！_有些_人_生性_孤僻_”_他们_像_寄居蟹_或_蜗牛_那样_，_总_想_缩进_自己_的_壳里_“_这种_人_世上_还_不少_哩_，	这_有_什么_奇怪_的_“_布尔金_说_！_有些_人生性_孤僻_”_他们_像_寄居蟹_或_蜗牛_那样_，_总_想_缩进_自己_的_壳里_“_这种_人世_上_还_不少_哩_，	这_有_什么_奇怪_的_“_布尔金_说_！_有些_人_生性_孤僻_”_他们_像_寄居蟹_或_蜗牛_那样_，_总想_缩进_自己_的_壳_里_“_这_种_人世_上_还_不少_哩_，
7	futlar.xml	###undefined###	Я не естественник и не мое дело касаться подобных вопросов, я только хочу сказать, что такие люди, как Мавра, явление не редкое.	我不是搞自然科学的，这类问题不关我的事。我只是想说像玛芙拉这类人，并不是罕见的现象，	Мавра	玛芙拉	科学_	我_不是_搞_自然科学_的_，_这_类_问题_不关_我_的_事_。_我_只是_想_说_像_玛_芙拉_这_类人_，_并_不是_罕见_的_现象_，	我_不是_搞_自然科学_的_，_这_类_问题_不关_我_的_事_。_我_只是_想_说_像_玛芙拉_这_类_人_，_并_不是_罕见_的_现象_，	我_不_是_搞_自然_科学_的_，_这_类_问题_不关_我_的_事_。_我_只是_想_说_像_玛芙拉_这_类_人_，_并不_是_罕见_的_现象_，
8	futlar.xml	###undefined###	Да вот, недалеко искать, месяца два назад умер у нас в городе некий Беликов, учитель греческого языка, мой товарищ.	哦，不必去远处找，两个月前，我们城里死了一个人，他姓别利科夫，希腊语教员，我的同事。	Беликов	别利科夫	别利科夫_	哦_，_不必_去_远处_找_，_两个_月_前_，_我们_城里_死_了_一个_人_，_他_姓别_利_科夫_，_希腊语_教员_，_我_的_同事_。	哦_，_不必_去_远处_找_，_两_个_月_前_，_我们_城里_死_了_一个_人_，_他_姓_别利科夫_，_希腊语_教员_，_我_的_同事_。	哦_，_不必_去_远处_找_，_两_个_月_前_，_我们_城里_死_了_一_个_人_，_他_姓_别_利科夫_，_希腊语_教员_，_我_的_同事_。
9	futlar.xml	###undefined###	И мысль свою Беликов также старался запрятать в футляр.	别利科夫把自己的思想也竭力藏进套子里。	Беликов	别利科夫	别利科夫_	别利_科夫_把_自己_的_思想_也_竭力_藏进_套子_里_。	别利科夫_把_自己_的_思想_也_竭力_藏_进_套子_里_。	别_利科夫_把_自己_的_思想_也_竭力_藏_进_套子_里_。
