wiki_id,label_zh,label_ru,country,type
265997,伊曼德拉,Имандра,http://www.wikidata.org/entity/Q159,lake
166162,奥涅加,Онежское,http://www.wikidata.org/entity/Q159,lake
233071,汉泰,Хантайское,http://www.wikidata.org/entity/Q159,lake
245763,奥特拉德诺耶,Отрадное,http://www.wikidata.org/entity/Q159,lake
117036,绍托泽罗,Шотозеро,http://www.wikidata.org/entity/Q159,lake
143785,克烈季,Кереть,http://www.wikidata.org/entity/Q159,lake
1280250,尼季利,Недели,http://www.wikidata.org/entity/Q159,lake
1286772,奎托,Куйто,http://www.wikidata.org/entity/Q159,lake
1265476,斯维季亚济,Свитязь,http://www.wikidata.org/entity/Q212,lake
5513,贝加尔,Байкал,http://www.wikidata.org/entity/Q159,lake
199230,丘克恰吉尔斯科耶,Чукчагирское,http://www.wikidata.org/entity/Q159,lake
200818,沃德洛泽罗,Водлозеро,http://www.wikidata.org/entity/Q159,lake
201843,兴凯,Ханка,http://www.wikidata.org/entity/Q159,lake
15288,拉多加,Ладожское,http://www.wikidata.org/entity/Q159,lake
5633,维什蒂蒂斯,Виштынецкое,http://www.wikidata.org/entity/Q159,lake
1315765,维戈泽罗,Выгозеро,http://www.wikidata.org/entity/Q159,lake
203462,伊尔门,Ильмень,http://www.wikidata.org/entity/Q159,lake
217109,捷列茨科耶,Телецкое,http://www.wikidata.org/entity/Q159,lake
19253,楚德,Псковско-Чудское,http://www.wikidata.org/entity/Q159,lake
50836,维亚利耶,Вялье,http://www.wikidata.org/entity/Q159,lake
50869,奥尔林斯科耶,Орлинское,http://www.wikidata.org/entity/Q159,lake
1723900,卡诺泽罗,Канозеро,http://www.wikidata.org/entity/Q159,lake
1739762,克泽诺亚姆,Кезенойам,http://www.wikidata.org/entity/Q159,lake
1739872,克塔,Кета,http://www.wikidata.org/entity/Q159,lake
1747079,科尔维茨科耶,Колвицкое,http://www.wikidata.org/entity/Q159,lake
980065,斯努德,Снуды,http://www.wikidata.org/entity/Q184,lake
997762,普列谢耶沃,Плещеево,http://www.wikidata.org/entity/Q159,lake
1066964,乔洛埃,Тёплое,http://www.wikidata.org/entity/Q159,lake
1076270,萨普绍,Сапшо,http://www.wikidata.org/entity/Q159,lake
1091822,谢苗诺夫斯科耶,Семёновское,http://www.wikidata.org/entity/Q159,lake
1091879,基利金斯科耶,Кильдинское,http://www.wikidata.org/entity/Q159,lake
1112351,韦利埃,Вельё,http://www.wikidata.org/entity/Q159,lake
1112632,伏尔加,Волго,http://www.wikidata.org/entity/Q159,lake
1101008,埃利通,Эльтон,http://www.wikidata.org/entity/Q159,lake
1107544,克里沃耶,Кривое,http://www.wikidata.org/entity/Q159,lake
1108063,帕维隆,Павылон,http://www.wikidata.org/entity/Q159,lake
1108073,伊利尔格特金,Илиргыткин,http://www.wikidata.org/entity/Q159,lake
1108335,丘科奇耶,Чукочье,http://www.wikidata.org/entity/Q159,lake
1109799,久普昆,Дюпкун,http://www.wikidata.org/entity/Q159,lake
1110298,阿拉赫列伊,Арахлей,http://www.wikidata.org/entity/Q159,lake
1112333,昆加萨拉赫,Кунгасалах,http://www.wikidata.org/entity/Q159,lake
1112700,弗谢卢格,Вселуг,http://www.wikidata.org/entity/Q159,lake
1115605,帕利埃奥泽罗,Пальеозеро,http://www.wikidata.org/entity/Q159,lake
1115650,乌宾斯科耶,Убинское,http://www.wikidata.org/entity/Q159,lake
1115661,桑达尔,Сандал,http://www.wikidata.org/entity/Q159,lake
1115680,大托科,Большое Токо,http://www.wikidata.org/entity/Q159,lake
1115810,克罗诺基,Кроноцкое,http://www.wikidata.org/entity/Q159,lake
1120394,科科罗,Кокора,http://www.wikidata.org/entity/Q159,lake
1144905,普斯科夫,Псковское,http://www.wikidata.org/entity/Q159,lake
1188040,库尼贡达,Синевир,http://www.wikidata.org/entity/Q212,lake
1192041,布罗斯诺,Бросно,http://www.wikidata.org/entity/Q159,lake
1194106,列佩利,Лепельское,http://www.wikidata.org/entity/Q184,lake
373732,拉查,Лача,http://www.wikidata.org/entity/Q159,lake
393977,博金斯基,Богинское,http://www.wikidata.org/entity/Q184,lake
518319,格卢博科耶,Глубокое,http://www.wikidata.org/entity/Q159,lake
533151,伊特科利,Иткуль,http://www.wikidata.org/entity/Q159,lake
573134,图洛斯,Тулос,http://www.wikidata.org/entity/Q159,lake
658234,涅罗,Неро,http://www.wikidata.org/entity/Q159,lake
671989,古西诺耶,Гусиное,http://www.wikidata.org/entity/Q159,lake
675234,苏奥,Суоярви,http://www.wikidata.org/entity/Q159,lake
709323,托波泽罗,Топозеро,http://www.wikidata.org/entity/Q159,lake
718192,哈桑,Хасан,http://www.wikidata.org/entity/Q159,lake
1474939,谢伊多泽罗,Сейдозеро,http://www.wikidata.org/entity/Q159,lake
1342950,恩戈泽罗,Энгозеро,http://www.wikidata.org/entity/Q159,lake
1400480,伊尔佳亚什,Иртяш,http://www.wikidata.org/entity/Q159,lake
1416209,谢戈泽罗,Сегозеро,http://www.wikidata.org/entity/Q159,lake
1435837,纽克,Нюк,http://www.wikidata.org/entity/Q159,lake
1458409,皮亚奥泽罗,Пяозеро,http://www.wikidata.org/entity/Q159,lake
730166,托列-霍利,Торе-Холь,http://www.wikidata.org/entity/Q159,lake
731761,库伦达,Кулундинское,http://www.wikidata.org/entity/Q159,lake
739577,朱卢库利,Джулукуль,http://www.wikidata.org/entity/Q159,lake
746304,谢利格尔,Селигер,http://www.wikidata.org/entity/Q159,lake
747280,德里维亚特,Дривяты,http://www.wikidata.org/entity/Q184,lake
1460034,拉马,Лама,http://www.wikidata.org/entity/Q159,lake
1460079,温博泽罗,Умбозеро,http://www.wikidata.org/entity/Q159,lake
