id_,wiki_id,label_zh,label_ru,xinhua,country,type,levenstein_abs,levenstein_norm,jaccard
0,265997,伊曼德拉,Имандра,伊曼德拉,Russia,lake,0,0.0,1.0
1,166162,奥涅加,Онежское,奥涅日斯科耶,Russia,lake,4,0.6666666666666666,0.2857142857142857
2,233071,汉泰,Хантайское,汉泰斯科耶,Russia,lake,3,0.6,0.4
3,245763,奥特拉德诺耶,Отрадное,奥特拉德诺耶,Russia,lake,0,0.0,1.0
4,117036,绍托泽罗,Шотозеро,绍托泽罗,Russia,lake,0,0.0,1.0
5,143785,克烈季,Кереть,克列季,Russia,lake,1,0.3333333333333333,0.5
6,1280250,尼季利,Недели,涅杰莉,Russia,lake,3,1.0,0.0
7,1286772,奎托,Куйто,奎托,Russia,lake,0,0.0,1.0
8,1265476,斯维季亚济,Свитязь,斯维佳济,Ukraine,lake,2,0.4,0.5
9,5513,贝加尔,Байкал,拜卡尔,Russia,lake,2,0.6666666666666666,0.2
10,199230,丘克恰吉尔斯科耶,Чукчагирское,丘克恰吉尔斯科耶,Russia,lake,0,0.0,1.0
11,200818,沃德洛泽罗,Водлозеро,沃德洛泽罗,Russia,lake,0,0.0,1.0
12,201843,兴凯,Ханка,汉卡,Russia,lake,2,1.0,0.0
13,15288,拉多加,Ладожское,拉多日斯科耶,Russia,lake,4,0.6666666666666666,0.2857142857142857
14,5633,维什蒂蒂斯,Виштынецкое,维什特涅茨科耶,Russia,lake,5,0.7142857142857143,0.2
15,1315765,维戈泽罗,Выгозеро,维戈泽罗,Russia,lake,0,0.0,1.0
16,203462,伊尔门,Ильмень,伊利缅,Russia,lake,2,0.6666666666666666,0.2
17,217109,捷列茨科耶,Телецкое,捷列茨科耶,Russia,lake,0,0.0,1.0
18,19253,楚德,Псковско-Чудское,普斯科夫斯科·丘茨科耶,Russia,lake,11,1.0,0.0
19,50836,维亚利耶,Вялье,维亚利耶,Russia,lake,0,0.0,1.0
20,50869,奥尔林斯科耶,Орлинское,奥尔林斯科耶,Russia,lake,0,0.0,1.0
21,1723900,卡诺泽罗,Канозеро,卡诺泽罗,Russia,lake,0,0.0,1.0
22,1739762,克泽诺亚姆,Кезенойам,克泽诺伊阿姆,Russia,lake,2,0.3333333333333333,0.5714285714285714
23,1739872,克塔,Кета,克塔,Russia,lake,0,0.0,1.0
24,1747079,科尔维茨科耶,Колвицкое,科尔维茨科耶,Russia,lake,0,0.0,1.0
25,980065,斯努德,Снуды,丝努德,Belarus,lake,1,0.3333333333333333,0.5
26,997762,普列谢耶沃,Плещеево,普列谢耶沃,Russia,lake,0,0.0,1.0
27,1066964,乔洛埃,Тёплое,乔普洛耶,Russia,lake,2,0.5,0.4
28,1076270,萨普绍,Сапшо,萨普绍,Russia,lake,0,0.0,1.0
29,1091822,谢苗诺夫斯科耶,Семёновское,谢苗诺夫斯科耶,Russia,lake,0,0.0,1.0
30,1091879,基利金斯科耶,Кильдинское,基利金斯科耶,Russia,lake,0,0.0,1.0
31,1112351,韦利埃,Вельё,韦利约,Russia,lake,1,0.3333333333333333,0.5
32,1112632,伏尔加,Волго,沃尔戈,Russia,lake,2,0.6666666666666666,0.2
33,1101008,埃利通,Эльтон,埃利托恩,Russia,lake,2,0.5,0.4
34,1107544,克里沃耶,Кривое,克里沃耶,Russia,lake,0,0.0,1.0
35,1108063,帕维隆,Павылон,帕维洛恩,Russia,lake,2,0.5,0.4
36,1108073,伊利尔格特金,Илиргыткин,伊利尔格特金,Russia,lake,0,0.0,1.0
37,1108335,丘科奇耶,Чукочье,丘科奇耶,Russia,lake,0,0.0,1.0
38,1109799,久普昆,Дюпкун,久普昆,Russia,lake,0,0.0,1.0
39,1110298,阿拉赫列伊,Арахлей,阿拉赫列伊,Russia,lake,0,0.0,1.0
40,1112333,昆加萨拉赫,Кунгасалах,昆加萨拉赫,Russia,lake,0,0.0,1.0
41,1112700,弗谢卢格,Вселуг,弗谢卢格,Russia,lake,0,0.0,1.0
42,1115605,帕利埃奥泽罗,Пальеозеро,帕利耶奥泽罗,Russia,lake,1,0.16666666666666666,0.7142857142857143
43,1115650,乌宾斯科耶,Убинское,乌宾斯科耶,Russia,lake,0,0.0,1.0
44,1115661,桑达尔,Сандал,桑达尔,Russia,lake,0,0.0,1.0
45,1115680,大托科,Большое Токо,博利绍耶·托科,Russia,lake,5,0.7142857142857143,0.25
46,1115810,克罗诺基,Кроноцкое,克罗诺茨科耶,Russia,lake,3,0.5,0.42857142857142855
47,1120394,科科罗,Кокора,科科拉,Russia,lake,1,0.3333333333333333,0.5
48,1144905,普斯科夫,Псковское,普斯科夫斯科耶,Russia,lake,3,0.42857142857142855,0.5714285714285714
49,1188040,库尼贡达,Синевир,西涅维尔,Ukraine,lake,4,1.0,0.0
50,1192041,布罗斯诺,Бросно,布罗斯诺,Russia,lake,0,0.0,1.0
51,1194106,列佩利,Лепельское,列佩利斯科耶,Belarus,lake,3,0.5,0.5
52,373732,拉查,Лача,拉恰,Russia,lake,1,0.5,0.3333333333333333
53,393977,博金斯基,Богинское,博金斯科耶,Belarus,lake,2,0.4,0.5
54,518319,格卢博科耶,Глубокое,格卢博科耶,Russia,lake,0,0.0,1.0
55,533151,伊特科利,Иткуль,伊特库利,Russia,lake,1,0.25,0.6
56,573134,图洛斯,Тулос,图洛斯,Russia,lake,0,0.0,1.0
57,658234,涅罗,Неро,涅罗,Russia,lake,0,0.0,1.0
58,671989,古西诺耶,Гусиное,古西诺耶,Russia,lake,0,0.0,1.0
59,675234,苏奥,Суоярви,苏奥亚尔维,Russia,lake,3,0.6,0.4
60,709323,托波泽罗,Топозеро,托波泽罗,Russia,lake,0,0.0,1.0
61,718192,哈桑,Хасан,哈桑,Russia,lake,0,0.0,1.0
62,1474939,谢伊多泽罗,Сейдозеро,谢伊多泽罗,Russia,lake,0,0.0,1.0
63,1342950,恩戈泽罗,Энгозеро,恩戈泽罗,Russia,lake,0,0.0,1.0
64,1400480,伊尔佳亚什,Иртяш,伊尔佳什,Russia,lake,1,0.2,0.8
65,1416209,谢戈泽罗,Сегозеро,谢戈泽罗,Russia,lake,0,0.0,1.0
66,1435837,纽克,Нюк,纽克,Russia,lake,0,0.0,1.0
67,1458409,皮亚奥泽罗,Пяозеро,皮亚奥泽罗,Russia,lake,0,0.0,1.0
68,730166,托列-霍利,Торе-Холь,托列·霍利,Russia,lake,1,0.2,0.6666666666666666
69,731761,库伦达,Кулундинское,库伦金斯科耶,Russia,lake,4,0.6666666666666666,0.2857142857142857
70,739577,朱卢库利,Джулукуль,朱卢库利,Russia,lake,0,0.0,1.0
71,746304,谢利格尔,Селигер,谢利格尔,Russia,lake,0,0.0,1.0
72,747280,德里维亚特,Дривяты,德里维亚特,Belarus,lake,0,0.0,1.0
73,1460034,拉马,Лама,拉玛,Russia,lake,1,0.5,0.3333333333333333
74,1460079,温博泽罗,Умбозеро,温博泽罗,Russia,lake,0,0.0,1.0
75,1463552,库边斯科耶,Кубенское,库边斯科耶,Russia,lake,0,0.0,1.0
76,1471913,库页,Курильское,库里利斯科耶,Russia,lake,5,0.8333333333333334,0.14285714285714285
77,747554,纳拉奇,Нарочь,娜萝奇,Belarus,lake,2,0.6666666666666666,0.2
78,810395,巴斯昆恰克,Баскунчак,巴斯昆恰克,Russia,lake,0,0.0,1.0
79,811672,巴温特,Баунт,包恩特,Russia,lake,2,0.6666666666666666,0.2
80,815646,别廖,Белё,别廖,Russia,lake,0,0.0,1.0
81,827202,卡拉恰伊,Карачай,卡拉柴,Russia,lake,2,0.5,0.4
82,1507924,沃热,Воже,沃热,Russia,lake,0,0.0,1.0
83,1519853,夏莫泽罗,Сямозеро,夏莫泽罗,Russia,lake,0,0.0,1.0
84,1520895,钱尼,Чаны,恰内,Russia,lake,2,1.0,0.0
85,1535541,皮亚西诺,Пясино,皮亚西诺,Russia,lake,0,0.0,1.0
86,912150,马科夫斯科埃,Маковское,马科夫斯科耶,Russia,lake,1,0.16666666666666666,0.7142857142857143
87,924858,蓬乔泽罗,Пончозеро,波恩乔泽罗,Russia,lake,2,0.4,0.5
88,930182,基延格-丘耶利,Киенг-Кюель,基延格丘耶利,Russia,lake,1,0.14285714285714285,0.8571428571428571
89,952248,洛沃泽罗,Ловозеро,洛沃泽罗,Russia,lake,0,0.0,1.0
90,953140,白,Белое,别洛耶,Russia,lake,3,1.0,0.0
91,840744,察甘-哈格,Цаган-Хаг,察甘·哈格,Russia,lake,1,0.2,0.6666666666666666
92,845868,泰梅尔,Таймыр,泰梅尔,Russia,lake,0,0.0,1.0
93,871303,切科,Чеко,切科,Russia,lake,0,0.0,1.0
94,890305,维尔马亚尔维,Вирмаярви,维尔马亚尔维,Russia,lake,0,0.0,1.0
95,905981,拉本克尔,Лабынкыр,拉本克尔,Russia,lake,0,0.0,1.0
96,1688208,耶谢伊,Ессей,叶谢伊,Russia,lake,1,0.3333333333333333,0.5
97,1576687,亚尼斯,Большое Янисъярви,博利绍耶·亚尼斯亚尔维,Russia,lake,8,0.7272727272727273,0.2727272727272727
98,1587070,小汉泰卡,Малое Хантайское,马洛耶·汉泰斯科耶,Russia,lake,7,0.7777777777777778,0.18181818181818182
99,1600939,梅尔科埃,Мелкое,梅尔科耶,Russia,lake,1,0.25,0.6
100,13667933,波洛温诺耶,Половинное,波洛温诺耶,Russia,lake,0,0.0,1.0
101,13667935,尤什特,Юшты,尤什特,Russia,lake,0,0.0,1.0
102,14915501,瓦加特,Вагатозеро,瓦加托泽罗,Russia,lake,3,0.6,0.3333333333333333
103,14915503,米克利斯科耶,Миккельское,米克利斯科耶,Russia,lake,0,0.0,1.0
104,14915507,洛索辛斯科耶,Лососинское,洛索辛斯科耶,Russia,lake,0,0.0,1.0
105,14915508,马舍,Машезеро,马舍泽罗,Russia,lake,2,0.5,0.5
106,15944008,萨隆,Салонъярви,萨洛恩亚尔维,Russia,lake,5,0.8333333333333334,0.14285714285714285
107,15965765,瓦什,Вашозеро,瓦绍泽罗,Russia,lake,3,0.75,0.2
108,15965771,尼格,Нигозеро,尼戈泽罗,Russia,lake,3,0.75,0.2
109,15965777,丘日姆,Чужмозеро,丘日莫泽罗,Russia,lake,3,0.6,0.3333333333333333
110,15965786,加赫克,Гахкозеро,加赫科泽罗,Russia,lake,3,0.6,0.3333333333333333
111,15965867,戈姆谢利加,Гомсельга,戈姆谢莉加,Russia,lake,1,0.2,0.6666666666666666
112,15965882,万格,Вангозеро,万戈泽罗,Russia,lake,3,0.75,0.2
113,15965898,下皮格姆,Нижнее Пигмозеро,尼日涅耶·皮格莫泽罗,Russia,lake,8,0.8,0.16666666666666666
114,15965907,上皮格姆,Верхнее Пигмозеро,韦尔赫涅耶·皮格莫泽罗,Russia,lake,9,0.8181818181818182,0.15384615384615385
115,15977751,阿尔,Алозеро,阿洛泽罗,Russia,lake,3,0.75,0.2
116,15993078,沙德胡列伊,Шадхурей,沙德胡列伊,Russia,lake,0,0.0,1.0
117,16272883,阿列克谢耶夫斯科耶,Алексеевское,阿列克谢耶夫斯科耶,Russia,lake,0,0.0,1.0
118,16272945,阿尔帕托沃,Алпатово,阿尔帕托沃,Russia,lake,0,0.0,1.0
119,16273871,巴尔多沃,Бардово,巴尔多沃,Russia,lake,0,0.0,1.0
120,16274248,别列佐沃耶,Березовое,别列佐沃耶,Russia,lake,0,0.0,1.0
121,16274448,维京斯科耶,Битинское,比京斯科耶,Russia,lake,1,0.2,0.6666666666666666
122,16274565,大阿尔拉基,Большие Аллаки,博利希耶·阿拉基,Russia,lake,6,0.75,0.3
123,16274576,沃利绍耶,Большое,博利绍耶,Russia,lake,1,0.25,0.6
124,16274580,大索科洛沃,Большое Соколово,博利绍耶·索科洛沃,Russia,lake,5,0.5555555555555556,0.4
125,16471498,凯伊皮利根,Кэйпильгын,凯皮利根,Russia,lake,1,0.2,0.8
