label_zh;label_ru;translit
奥涅加;Онега;àonièjiā
奥特拉德诺耶;Отрадное;àotèlādénuòyē
贝加尔;Байкал;bèijiā’ěr
拉多加;Ладога;lāduōjiā
伏尔加;Волга;fú’ěrjiā
普斯科夫;Псков-;pǔ sī kē fū
列佩利;Лепель-;lièpèilì
哈桑;Хасан;hā sāng
谢利格尔;Селигер;xièlìgé’ěr
拉马;Лама;lāmǎ
泰梅尔;Таймыр;tàiméi’ěr
加利;Галь-;jiālì
加里;Гарь;jiālǐ
孔德;Конд-;kǒngdé
苏拉;Сула;sūlā
苏姆;Сум-;sūmǔ
乌尔;Ур-;wūěr
克柳奇;Ключи;kèliǔqí
休奇耶;Щучье;xiūqíyē
古比雪夫;Куйбышев-;gǔbǐxuěfū
沙尔;Шар;shā’ěr
车臣;Чечень;chēchén
乌什;Уш;wūshí
苏霍伊;Сухой;sūhuòyī
俄罗斯;Русский;éluósī
彼得格勒;Петроград-;bǐdégélè
施密特;Шмидт-;shīmìtè
海斯;Хейс-;hǎisī
哈雷;Харли;hāléi
费尔斯曼;Ферсман-;fèi’ěrsīmàn
乌沙科夫;Ушаков-;wūshākēfū
索尔兹伯里;Солсбери;suǒ’ěrzībólǐ
索洛维约夫;Соловьёв-;suǒluòwéiyuēfū
鲁道夫;Рудольф-;lǔdàofū
罗伯逊;Робертсон-;luóbóxùn
波波夫;Попов-;bōbōfū
牛顿;Ньютон-;niúdùn
南森;Нансен-;nánsēn
拉夫罗夫;Лавров-;lāfūluófū
库恩;Кун-;kù’ēn
高尔察克;Колчак-;gāo’ěrchákè
约翰;Ион-;yuēhàn
伊万诺夫;Иванов-;yīwànnuòfū
迪克;Дик-;díkè
杰斐逊;Джефферсон-;jiéfěixùn
杰克逊;Джексон-;jiékèxùn
戴维;Давид-;dàiwéi
霍夫曼;Гофман-;huòfūmàn
霍尔;Галль-;huò’ěr
弗兰格尔;Врангель-;fúlángé’ěr
白令;Беринг-;báilìng
贝克尔;Беккер-;bèikè’ěr
阿瑟;Артур-;āsè
安德烈耶夫;Андреев-;āndélièyēfū
阿德莱德;Аделаида;ādéláidé
新西伯利亚;Новая Сибирь;xīnxībólìyà
马卡尔;Макар;mǎkǎ’ěr
科穆纳尔;Коммунар;kēmùnà’ěr
克林;Клин;kèlín
基;Кий;jī 
迪克森;Диксон;díkèsēn
戴维斯;Дауэс;dàiwéisī
维多利亚;Виктория;wéiduōlìyà
瓦西里;Васильевский;wǎxīlǐ
布扬;Буян;bùyáng
布尔什维克;Большевик;bùěrshíwéikè
别雷;Белый;biéléi
贝尔;Белл;bèiěr
第聂伯;Днепр;dìnièbó
通古斯;Подкаменная Тунгуска;tōnggǔsī
阿纳德尔;Анадырь;ā’nàdé’ěr
伏尔加;Волга;fú’ěrjiā
卢加;Луга;lújiā
沃尔霍夫;Волхов;wò’ěrhuòfū
皮萨;Писса;písà
维京;Витим;wéijīng
沃洛格达;Вологда;wòluògēdá
库尔;Кур;kù’ěr
额尔古纳;Аргунь;é’ěrgǔ’nà
鄂毕;Обь;èbì
顿;Дон;dùn
纳德姆;Надым;nàdémǔ
伯朝拉;Печора;bócháolā
库班;Кубань;kùbān
捷列克;Терек;jiélièkè
乌拉尔;Урал;wūlā’ěr
叶尼塞;Енисей;yènísāi
泰梅尔;Нижняя Таймыра;tàiméi’ěr
普尔;Пур;pǔ’ěr
涅瓦;Нева;nièwǎ
图们;Туман-;túmén
阿巴坎;Абакан;ābākǎn
卡马;Кама;kǎmǎ
梅津;Мезень;méijīn
乌苏里;Уссури;wūsūlǐ
结雅;Зея;jiēyǎ
乌法;Уфа;wūfǎ
阿尔丹;Алдан;ā’ěrdān
塔夫达;Тавда;tǎfūdá
伊希姆;Ишим;yīxīmǔ
苏拉;Сура;sūlāsūla
丘雷姆;Чулым;qiūléimǔ
维亚特卡;Вятка;wéiyàtèkǎ
石勒喀;Шилка;shílèkā
尤留赞;Юрюзань;yóuliúzàn
布伊;Буй;bùyī
堪察加;Камчатка;kānchájiā
额尔齐斯;Иртыш;é’ěrqísī
乌赫塔;Ухта;wūhètǎ
普里皮亚季;Припять;pǔlǐpíyàjì
亚赫罗马;Яхрома;yàhèluómǎ
雅各布;Ворьема;yāgèbù
莫斯科;Москва;mòsīkē
安加拉;Ангара;ānjiālā
库马;Кума;kùmǎ
