idx	sheet_id	sentence_id	sentence_rus	sentence_zho	proper_names	proper_zh	wordlist	jieba	pku	stanford
0	1	0	Открылся 6-й Китайско-российский молодежный форум в формате «Янцзы-Волга»	第六届中俄“长江－伏尔加河”青年论坛开幕	Волга	伏尔加河	伏尔加河	伏尔加河	伏尔加河	伏尔加河
1	1	1	16 июля в городе Чанша (административный центр пров. Хунань, Юго-Восточный Китай) открылся 6-й Китайско-российский молодежный форум в формате «Янцзы-Волга». В церемонии открытия приняли участие и обратились с речами к участникам мероприятия член Госсовета КНР Ван Юн и заместитель председателя полномочного представителя Президента РФ в Приволжском федеральном округе Олег Машковцев.	第六届中国长江（中上游地区）和俄罗斯伏尔加河（沿岸联邦区）青年论坛16日在长沙市开幕，国务委员王勇与俄罗斯总统驻伏尔加河沿岸联邦区副全权代表马什科夫采夫出席开幕式并致辞。	РФ_Олег_Машковцев	俄罗斯_伏尔加河_马什科夫采夫	伏尔加河	伏尔加河	俄罗斯_伏尔加河_马什科夫采夫	俄罗斯_伏尔加河_马什科夫采夫
2	1	3	«Янцзы-Волга» – первый механизм регионального сотрудничества между Китаем и Россией. Он нацелен на реализацию стратегически важных договоренностей председателя КНР Си Цзиньпина и президента РФ Владимира Путина по поводу развития двусторонних отношений в новую эпоху и расширения сфер прагматического взаимодействия, а также на оптимизацию межрегионального сотрудничества двух сторон. 	“长江－伏尔加河”是中俄首个地方区域性合作机制，其目的是落实习近平主席和普京总统关于两国关系新时代定位和拓展务实合作领域达成的重要共识，并促进两国区域合作。	Волга_Путина	伏尔加_普京	伏尔加河_普京	伏尔加河_和普京	伏尔加河_普京	伏尔加河_普京
3	1	5	Олег Машковцев в своем послании участникам форума отметил, что нынешний молодежный форум «Янцзы-Волга» рассматривается как эффективно действующая и перспективная площадка в деле налаживания связей и сближения молодежи двух стран.	马什科夫采夫在致辞中指出，本届“长江－伏尔加河”青年论坛为俄中青年增进沟通提供了有益平台。	Олег_Машковцев_Волга	马什科夫采夫_伏尔加河	伏尔加河	伏尔加河	马什科夫采夫_伏尔加河	马什科夫采夫_伏尔加河
4	2	2	Благодаря своему уникальному географическому положению и непосредственному соседству с Россией, г. Суйфэньхэ активно развивает китайско-российские межрегиональные спортивные обмены и сотрудничество, предоставляет широкое пространство для различного культурно-спортивного взаимодействия и выступает коммуникационной платформой для спортивных сообществ двух стран.	绥芬河依托毗邻俄罗斯的地缘优势全力推动中俄区域间体育交流合作，为两国体育领域提供广阔的发展空间和交流平台。	Россией	俄罗斯	俄罗斯	俄罗斯	俄罗斯	俄罗斯
5	3	3	По итогам соревнования Дмитрий Факирьянов из России и Линь Сюжу из китайского Тайбэя выиграли чемпионат в категории трудности среди мужчин и женщин. Веддрик Леонардо из Индонезии и Тянь Пэйян выиграли чемпионат по скалолазанию в категории скорости среди мужчин и женщин.	最终，来自俄罗斯的德米特里·法基里亚诺夫（Dmitrii Fakirianov）和中国台北的林秀儒获得男子/女子难度赛冠军；印度尼西亚的韦德里克· 莱昂纳多（Veddriq Leonardo）和中国的田沛阳斩获男/女子速度赛冠军。	Дмитрий_Факирьянов	德米特里_法基里亚诺夫		德米特里	德米特里_法基里亚诺夫	德米特里_法基里亚诺夫
6	4	4	Президент Федерации стрельбы из лука Приморского края РФ Александр Устимов сказал: «Мы ежегодно принимаем участие в этих соревнованиях, и каждый раз удается добиться новых высоких результатов. 	俄罗斯滨海边疆区射箭联合会主席亚历山大在现场观看了比赛，他说：“我们每年都参加比赛，每次参赛都有新的收获。	РФ_Александр_Устимов	俄罗斯_亚历山大	亚历山大	俄罗斯_亚历山大	俄罗斯_亚历山大	俄罗斯_亚历山大
7	7	0	В Москве прошел 1-й пленум Совета по делам инвалидности Китайско-российского комитета дружбы, мира и развития	中俄友好、和平与发展委员会残疾人事务理事会第一次全体会议在莫斯科举行	Москве	莫斯科		莫斯科	莫斯科	莫斯科
8	7	2	Среди активных участников встречи - сопредседатель Совета и гендиректор российского Национального центра проблем инвалидности Александр Лысенко, сопредседатель Совета и замглавы Совета управляющих Китайской федерации инвалидов Цзя Юн, а также ректор принимавшего событие вуза Вагиф Байрамов, члены структуры с обеих сторон и представители китайских и российских СМИ.	出席会议的有理事会俄方主席、俄罗斯残疾人问题研究中心董事会主席亚历山大•李森科，中方主席、中国残联副理事长贾勇，以及莫斯科国立人文经济大学校长瓦吉夫•拜拉莫夫、理事会双方成员和中俄媒体代表等。	РФ_Александр_Лысенко_Вагиф_Байрамов	俄罗斯_亚历山大_李森科_瓦吉夫_拜拉莫夫	亚历山大_拜拉莫夫	俄罗斯_亚历山大_李森科_瓦吉夫	俄罗斯_亚历山大_李森科_瓦吉夫_拜拉莫夫	俄罗斯_亚历山大_李森科_瓦吉夫_拜拉莫夫
9	7	3	Александр Лысенко рассказал о взаимных визитах и встречах членов Китайско-российского совета по делам инвалидности за 5 лет работы организации, в ходе которых был сформирован механизм тесных контактов и прагматического сотрудничества.	亚历山大•李森科表示，中俄残疾人理事会成立五年来，双方进行过多次互访和会晤，形成了良好的沟通和务实合作机制。	Александр_Лысенко	亚历山大_李森科	亚历山大	亚历山大_李森科	亚历山大_李森科	亚历山大_李森科
