sheet_id	sentence_id	sentence_rus	sentence_zho	indices	proper_names	proper_zh
1	0	Открылся 6-й Китайско-российский молодежный форум в формате «Янцзы-Волга»	第六届中俄“长江－伏尔加河”青年论坛开幕	10	Волга	伏尔加河
1	1	16 июля в городе Чанша (административный центр пров. Хунань, Юго-Восточный Китай) открылся 6-й Китайско-российский молодежный форум в формате «Янцзы-Волга». В церемонии открытия приняли участие и обратились с речами к участникам мероприятия член Госсовета КНР Ван Юн и заместитель председателя полномочного представителя Президента РФ в Приволжском федеральном округе Олег Машковцев.	第六届中国长江（中上游地区）和俄罗斯伏尔加河（沿岸联邦区）青年论坛16日在长沙市开幕，国务委员王勇与俄罗斯总统驻伏尔加河沿岸联邦区副全权代表马什科夫采夫出席开幕式并致辞。	20_44_49_50	РФ_Олег_Машковцев	伏尔加河_马什科夫采夫
1	3	«Янцзы-Волга» – первый механизм регионального сотрудничества между Китаем и Россией. Он нацелен на реализацию стратегически важных договоренностей председателя КНР Си Цзиньпина и президента РФ Владимира Путина по поводу развития двусторонних отношений в новую эпоху и расширения сфер прагматического взаимодействия, а также на оптимизацию межрегионального сотрудничества двух сторон. 	“长江－伏尔加河”是中俄首个地方区域性合作机制，其目的是落实习近平主席和普京总统关于两国关系新时代定位和拓展务实合作领域达成的重要共识，并促进两国区域合作。	1_10_24_25_26	Волга_Путина	伏尔加_普京
1	5	Олег Машковцев в своем послании участникам форума отметил, что нынешний молодежный форум «Янцзы-Волга» рассматривается как эффективно действующая и перспективная площадка в деле налаживания связей и сближения молодежи двух стран.	马什科夫采夫在致辞中指出，本届“长江－伏尔加河”青年论坛为俄中青年增进沟通提供了有益平台。	1_2_14	Олег_Машковцев_Волга	马什科夫采夫_伏尔加河
2	2	Благодаря своему уникальному географическому положению и непосредственному соседству с Россией, г. Суйфэньхэ активно развивает китайско-российские межрегиональные спортивные обмены и сотрудничество, предоставляет широкое пространство для различного культурно-спортивного взаимодействия и выступает коммуникационной платформой для спортивных сообществ двух стран.	绥芬河依托毗邻俄罗斯的地缘优势全力推动中俄区域间体育交流合作，为两国体育领域提供广阔的发展空间和交流平台。	10	Россией	俄罗斯
3	3	По итогам соревнования Дмитрий Факирьянов из России и Линь Сюжу из китайского Тайбэя выиграли чемпионат в категории трудности среди мужчин и женщин. Веддрик Леонардо из Индонезии и Тянь Пэйян выиграли чемпионат по скалолазанию в категории скорости среди мужчин и женщин.	最终，来自俄罗斯的德米特里·法基里亚诺夫（Dmitrii Fakirianov）和中国台北的林秀儒获得男子/女子难度赛冠军；印度尼西亚的韦德里克· 莱昂纳多（Veddriq Leonardo）和中国的田沛阳斩获男/女子速度赛冠军。	4_5_7_23_24_26	Дмитрий_Факирьянов	德米特里·法基里亚诺夫
4	4	Президент Федерации стрельбы из лука Приморского края РФ Александр Устимов сказал: «Мы ежегодно принимаем участие в этих соревнованиях, и каждый раз удается добиться новых высоких результатов. 	俄罗斯滨海边疆区射箭联合会主席亚历山大在现场观看了比赛，他说：“我们每年都参加比赛，每次参赛都有新的收获。	8_9_10	РФ_Александр_Устимов	俄罗斯_亚历山大
7	0	В Москве прошел 1-й пленум Совета по делам инвалидности Китайско-российского комитета дружбы, мира и развития	中俄友好、和平与发展委员会残疾人事务理事会第一次全体会议在莫斯科举行	2	Москве	莫斯科
7	2	Среди активных участников встречи - сопредседатель Совета и гендиректор российского Национального центра проблем инвалидности Александр Лысенко, сопредседатель Совета и замглавы Совета управляющих Китайской федерации инвалидов Цзя Юн, а также ректор принимавшего событие вуза Вагиф Байрамов, члены структуры с обеих сторон и представители китайских и российских СМИ.	出席会议的有理事会俄方主席、俄罗斯残疾人问题研究中心董事会主席亚历山大•李森科，中方主席、中国残联副理事长贾勇，以及莫斯科国立人文经济大学校长瓦吉夫•拜拉莫夫、理事会双方成员和中俄媒体代表等。	14_15_33_34	Александр_Лысенко_Вагиф_Байрамов	俄罗斯_亚历山大•李森科_瓦吉夫•拜拉莫夫
7	3	Александр Лысенко рассказал о взаимных визитах и встречах членов Китайско-российского совета по делам инвалидности за 5 лет работы организации, в ходе которых был сформирован механизм тесных контактов и прагматического сотрудничества.	亚历山大•李森科表示，中俄残疾人理事会成立五年来，双方进行过多次互访和会晤，形成了良好的沟通和务实合作机制。	1_2	Александр_Лысенко	亚历山大•李森科
9	5	Руководитель Федерального архивного агентства России А. Н. Артизов заявил, что выставка является прекрасным результатом, плодом тесного и продуктивного сотрудничества между архивными ведомствами России и Китая. 	俄罗斯联邦档案署署长阿尔基佐夫介绍，该展览是俄中两国档案部门合作的“果实”。	5_8_23	России_Артизов_России	俄罗斯_阿尔基佐夫
9	6	В дальнейшем экспонаты данного выставочного мероприятия будут представлены широкой общественности в таких городах, как Владивосток, Москва и др.	未来，这些展品将在俄罗斯符拉迪沃斯托克、莫斯科等城市展出。	15_16	Владивосток_Москва	俄罗斯_符拉迪沃斯托克
10	6	Концерт открылся «Вальсом цветов» знаменитого русского композитора П. И. Чайковского. 	音乐会在著名的俄罗斯音乐大师柴可夫斯基的代表作《花之圆舞曲》旋律中拉开帷幕。	10	Чайковского	柴可夫斯基
11	0	Успешно завершился второй этап акции для детей-аутистов из Китая «Красное знамя – реабилитация и дельфинотерапия в Сочи»	第二期中国孤独症儿童“红旗•索契海豚康复之行”圆满结束	17	Сочи	索契
11	6	В ходе комплексных тренировок и занятий администрация Сочи провела переговоры с представителями Китайского фонда благосостояния инвалидов. Стороны достигли договоренностей в таких сферах, как подготовка профессионалов по освоению методики дельфинотерации, активизация научных обменов между специалистами двух стран в сфере изучения аутизма, развитие долгосрочного сотрудничества по лечению китайских и российских детей-аутистов и т.д.	本次康复训练期间，索契市政府与中国残疾人福利基金会举行会谈，就海豚康复训练技术培训、中俄孤独症专家学术交流、两国孤独症儿童康复治疗长期合作等方面并达成合作意向。	8	Сочи	索契
12	0	Китайский студент стал лауреатом XVI Международного музыкального конкурса имени П. И. Чайковского по специальности «Медные духовые инструменты»	中国选手获柴可夫斯基国际音乐比赛铜管组别第一名	12	Чайковского	柴可夫斯基
12	1	С 17 по 29 июня в Москве и Санкт-Петербурге прошёл XVI Международный музыкальный конкурс им. П. И. Чайковского, главная цель которого – выявление новых талантов. 	6月17日至29日，第十六届柴可夫斯基国际音乐比赛在俄罗斯莫斯科和圣彼得堡同时举行。比赛旨在发掘年轻音乐家。	5_7_16	Москве_Санкт-Петербурге_Чайковского	柴可夫斯基_俄罗斯_莫斯科_圣彼得堡
12	15	Они вместе с Конкурсом пианистов им. Шопена и Конкурсом им. королевы Елизаветы создают тройку самых авторитетных на планете соревнований по исполнению классической музыки.	柴赛与肖邦国际钢琴比赛、伊丽莎白女王音乐比赛并称为世界最权威的三大古典音乐赛事。	7_12	Шопена_Елизаветы	伊丽莎白
