wiki_id	label_zh	label_ru	country	type
http://www.wikidata.org/entity/Q1579623	亞羅克島	Ярок	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q4536220	雅格里	Ягры	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q2529407	勇留島	Юрий	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q3802761	尤日內島 (弗霍德內埃群島)	Южный (остров, Входные)	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q3802760	尤日內島 (弗斯特雷奇內埃群島)	Южный (остров, Встречные)	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q212806	尤日內島	Южный	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q1066434	越渇磨島	Экарма	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q838500	占守岛	Шумшу	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q1043128	色丹島	Шикотан	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q1138833	舍子古丹島	Шиашкотан	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q3803138	沙爾島	Шар (остров)	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q3803133	奇斯蒂科夫島	Чистиков (остров)	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q1350107	奇林古丹島	Чиринкотан	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q2639395	車臣島	Чечень	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q1112709	四標桿島	Четырёхстолбовой	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q4515122	切特列帕利察島	Четыре Пальца	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q3803134	喬爾內島	Чёрный (остров)	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q3803130	切爾維亞克島	Червяк (остров)	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q3803131	恰索沃伊島	Часовой (остров)	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q1060998	昌普島	Чамп	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q914907	霍爾蒂恰島	Хортица	http://www.wikidata.org/entity/Q212	island
http://www.wikidata.org/entity/Q3802703	赫列布內島	Хлебный (остров)	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q3802702	希特雷島	Хитрый	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q1063222	春牟古丹島	Харимкотан	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q1771004	弗雷登島	Фреден	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q3802726	菲古爾內島	Фигурный (остров)	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q1606204	烏什卡尼群島	Ушканьи острова	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q2703017	烏希島	Уши	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q2580775	烏什島	Уш	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q3802911	烏喬諾克島	Утёнок (остров)	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q847281	得撫島	Уруп	http://www.wikidata.org/entity/Q159	island
http://www.wikidata.org/entity/Q3803111	向風島	Уиндворд	http://www.wikidata.org/entity/Q159	island
