word	pinyin_final	origin	lang	problematic	rus_transcription	stressed_syl	tone
阿尔申	āěrshén	аршин			аршЫн	shén	2
阿尔西非(合金)	āěrxǐfēi	альсифер			Ал’с’ьф’ьр	ā	1
阿法林	āfǎlín	афалина			афал’Инъ	lín	2
阿留米特	āliúmǐtè	алюмит		?	ал’ум’Ит	mǐ	3
阿依尔	āyi'ěr	аил			аИл	yi	1
阿札林	āzhálín	азарин			азар’Ин	lín	2
艾费勃	àifèibó	офеб(ы)		?	оф’Эп	fèi	4
艾米利通	àimǐlìtōng	эмиритон			им’ьр’итОн	tōng	1
艾木兴(井)	àimùxing(jíng)	эмшер(ский колодец)	!		Эмшър	ài	4
艾特纳(舞)	àitènà(wǔ)	этнэ	татарский		этнЭ	nà	4
艾匹配(舞)	àipìpèi(wǔ)	эпипэ	татарский		ип’ипЭ	pèi	4
爱特罗尔	àitèluó'ěr	этрол			итрОл	luó	2
奥白尔塔斯(舞)	àobái'ěrtǎsī(wǔ)	обертас			аб’иртАс	tǎ	3
奥白列克(舞)	àobáilièkè(wǔ)	оберек			об’Эр’ьк	bái	2
奥克索尔(油)	àokèsuǒ'ěr(yóu)	оксоль			аксОл’	suǒ	3
奥罗悲拉	àoluóběilā	оровела			аравЭлъ	běi	3
奥潘诺尔	àopānnuò'ěr	оппанол			апанОл	nuò	4
奥司脱拉特	àosītuōlātè	астролит			астрал’Ит	lā	1
奥苏奥海(舞)	àosūàohǎi(wǔ)	осуохай	якутский	?	асуохАй’	hǎi	3
奥西米那	àoximǐnā	осьмина			ас’м’Ина	mǐ	3
巴拉贝伦(枪)	pālābèilún(qiāng)	парабеллум	немецкий		параб’Элум	bèi	4
巴拉莱卡	bālāláikǎ	балалайка			балалАiкъ	lái	2
巴立克	bālìkè	парик			пар’Ик	lì	4
巴扬	bāyáng	баян			бай’Ан	yáng	2
板都拉	bāndūlā	бандура			бандУръ	dū	1
班都里	bāndūlǐ	пандури	грузинский		пандУр’ь	dū	1
贝尔科维次	bèi'ěrkēwéicì	берковец			б’Эркъв’ьц	bèi	4
贝科夫(车刀)	bèikēfū(chedao)	(резец )Быкова			бЫкъвъ	bèi	4
贝伊勒贝伊	bèiyilèbèiyi	бейлербей	тюркские		б’эй’л’ирб’Эi	bèi	4
焙结纳克斯(胶)	bēijiénàkèsī(jiāo)	пертинакс			п’ьрт’инАкс	nà	4
崩得	bēngdé	бунд	идиш		бУнт	bēng	1
比奥熙诺尔	bǐ'àoxīnuò'ěr	биохиноль			б’иах’инОл’	nuò	4
比曲格(马)	bǐqūgé(mǎ)	битюк(/битюг)			б’ит’Ук	qū	1
彼得鲁什卡	bídélǔshíkǎ	петрушка			п’итрУшкъ	lǔ	3
彼尔湖里(舞)	bí'ěrhúlǐ(wǔ)	перхули	грузинский		п’ирхУл’ь	hú	2
壁里砌	bìlìqì	печь			п’эч’	bì	4
别旦(式枪)	biédàn(shìqiāng)	берданка			б’ирдАнкъ	dàn	4
别伊	biéyi	бей			б’Эi	bié	2
波尔特阔维契(车刀)	bō'ěrtèkuòwéiqì(chedao)	(резец )Бортковича			барткОв’ьч’	kuò	4
波加的尔	bōjiādìěr	богатырь			бъгатЫр’	dì	4
波利瓦(帽)	bōlìwǎ(mào)	боливар( шляпа)			бъл’ивАр	wǎ	3
波舍杭	bōshěháng	пошехонец			пъшыхОн’ьц	háng	2
波特文牙(汤)	bōtèwényá(tāng)	ботвинья			батв’Ин’й’ь	wén	2
波雅尔	bōyǎ'ěr	бояре			бай’Ар’ь	yǎ	3
泊列考斯(羊)	bólièkǎosī(yáng)	прекос	французский		пр’икОс	kǎo	3
博尔食(汤)	bó'ěrshí(tāng)	борщ			бОрш’	bó	2
博克式(头)	bókèshì(tóu)	бокс( прическа)			бОкс	bó	2
布尔达	bù'ěrdá	бурда			бурдА	dá	2
布尔冈(红酒)	bu'4ěrgāng(hongjiu)	бургон(ское)			бургОнскъи	gāng	1
布尔什维克	bù'ěrshíwéikè	большевик			бъл’шыв’Ик	wéi	2
布加(风)	bùjiā(fēng)	пурга	через англ		пургА	jiā	1
布拉吉	bùlājí	платье			плАт’iь	lā	1
布冷(风)	bùlěng(fēng)	буран(/буря)	через англ		бурАн	lěng	3
布乍	bùzhà	буза			бузА	zhà	4
